id,name,description,effect,requirement,type,weapon_type,buy_price,sell_price,market_value,circulation,image,tradeable
1,Hammer,"A small, lightweight tool used in the building industry. Can also be used as a weapon.",,,Melee,Clubbing,75,50,28,2881169,https://www.torn.com/images/items/1/large.png,TRUE
2,Baseball Bat,"A long, solid wooden bat. As a weapon, it can land quite a blow on your enemy.",,,Melee,Clubbing,200,130,135,667811,https://www.torn.com/images/items/2/large.png,TRUE
3,Crowbar,Used for opening crates and large boxes. The sharp hook at one end makes this a great weapon.,,,Melee,Clubbing,400,250,134,910134,https://www.torn.com/images/items/3/large.png,TRUE
4,Knuckle Dusters,"They won't know what hit them with these strong, hard, brass knuckle dusters. They won't even see it coming!",,,Melee,Clubbing,750,500,331,619562,https://www.torn.com/images/items/4/large.png,TRUE
5,Pen Knife,"High quality knife--a great survival tool. Ideal for climbers, adventurers, military personnel, and close combat in dark alleys.",,,Melee,Piercing,1000,750,402,377904,https://www.torn.com/images/items/5/large.png,TRUE
6,Kitchen Knife,"Do your attempts to prepare food like your favourite TV chef end up more like hack and saw than slice and dice? If so, a sharp new knife could be your saviour.",,,Melee,Piercing,1500,1000,912,446921,https://www.torn.com/images/items/6/large.png,TRUE
7,Dagger,"A short, sharp metal dagger useful for quick attacks. Straight in, straight out.",,,Melee,Piercing,2250,1500,1236,206972,https://www.torn.com/images/items/7/large.png,TRUE
8,Axe,"Used mainly for chopping tree roots and splitting kindling. Can bash and split many other substances, too.",,,Melee,Clubbing,4200,3000,2006,801765,https://www.torn.com/images/items/8/large.png,TRUE
9,Scimitar,"The deeply-curved, high-carbon steel blade of the scimitar can terrify your opponent as you attack with a swashbuckling slash.",,,Melee,Slashing,8600,5400,5111,209595,https://www.torn.com/images/items/9/large.png,TRUE
10,Chainsaw,A compact chainsaw lets you cut quickly in tight spots. Its standard diamond chain is more than a match for almost anything you might need to slice up.,,,Melee,Mechanical,15000,11500,10724,363633,https://www.torn.com/images/items/10/large.png,TRUE
11,Samurai Sword,"A ninja-grade, full-tang samurai sword, created for us by a master artisan. The sword balances perfectly, takes and holds a razor edge, and can divide an eyelash or a full skull in one swipe.",,,Melee,Slashing,75000,53000,53136,186608,https://www.torn.com/images/items/11/large.png,TRUE
12,Glock 17,The Glock 17 is a lightweight semi-automatic pistol holding up to 20 rounds in a magazine.,,,Secondary,Pistol,400,270,173,855932,https://www.torn.com/images/items/12/large.png,TRUE
13,Raven MP25,"The Raven MP25 holds 6 rounds per magazine. It can deliver powerful, quick blows to the opponent at short range.",,,Secondary,Pistol,550,370,290,323555,https://www.torn.com/images/items/13/large.png,TRUE
14,Ruger 57,"A fast firing pistol chambered for the 5.7mm cartridge, holding 20 rounds per magazine. An accurate and moderately powerful weapon.",,,Secondary,Pistol,975,650,483,277828,https://www.torn.com/images/items/14/large.png,TRUE
15,Beretta M9,The M9 Beretta is the standard Army sidearm. Accurate and fast firing. 17 rounds per magazine.,,,Secondary,Pistol,2000,1300,1021,326151,https://www.torn.com/images/items/15/large.png,TRUE
16,USP,A good short range weapon that holds 15 rounds per magazine. Very accurate and has fast semi-automatic firing.,,,Secondary,Pistol,2750,1850,1634,369073,https://www.torn.com/images/items/16/large.png,TRUE
17,Beretta 92FS,"A direct-feed, double-stacked pistol with a 20-round magazine. This model has improvements to prevent the slide flying off if it cracks.",,,Secondary,Pistol,0,3500,436518,56892,https://www.torn.com/images/items/17/large.png,TRUE
18,Fiveseven,A small and light firearm that holds up to 20 rounds per magazine. Widely used by counter-terrorists all around the world.,,,Secondary,Pistol,9950,7500,6568,459833,https://www.torn.com/images/items/18/large.png,TRUE
19,Magnum,"A very slow but powerful weapon. It holds only 6 rounds, but delivers a mighty blow to the enemy.",,,Secondary,Pistol,23000,16000,14286,490712,https://www.torn.com/images/items/19/large.png,TRUE
20,Desert Eagle,"Fast-firing and very powerful. If you hit your opponent, he goes down and stays down. The magazine only holds eight rounds but the strength of each impact makes up for that.",,,Secondary,Pistol,45000,37000,35462,215173,https://www.torn.com/images/items/20/large.png,TRUE
